"";"GID";"X";"Y"
"X184";46;317523,446484216;7670260,09716176
"X185";46;316037,831707407;7678685,43723643
"X186";46;317523,446484221;7670260,09716176
"X187";47;318535,889776176;7672423,7608887
"X188";47;318641,153757674;7670918,41582048
"X189";47;318535,889776178;7672423,7608887
"X190";47;317154,692891169;7671921,04633489
"X191";47;318641,153757673;7670918,41582048
"X192";47;317154,692891165;7671921,04633489
"X195";48;323339,622769191;7671947
"X199";49;321227,722505948;7672086,7432292
"X200";49;317941,309840301;7670189,33199203
"X201";49;321227,722505938;7672086,7432292
"X202";49;317159,775268041;7671944,6873814
"X203";49;317941,309840301;7670189,33199203
"X204";49;317159,775268018;7671944,6873814
"X205";50;319432,257730904;7670964,71077102
"X206";50;317245,479649748;7669944,99940509
"X207";50;319432,257730909;7670964,71077102
"X208";50;317174,771765784;7671969,80827937
"X209";50;317245,47964975;7669944,99940509
"X210";50;317174,771765786;7671969,80827937
"X211";51;320104,520138206;7672047,52013822
"X212";51;317520,299208207;7669463,29920821
"X213";51;320104,520138225;7672047,52013822
"X214";51;317171,505274668;7671945,09700226
"X215";51;317520,299208207;7669463,29920821
"X216";51;317171,505274652;7671945,09700226
"X217";52;317659,04264592;7669172,20030592
"X219";52;317659,042645919;7669172,20030592
"X223";53;318509,455125129;7670103,77734404
"X224";53;319600,402096413;7673672,10410163
"X225";53;318509,455125149;7670103,77734404
"X226";53;314165,991230397;7669723,77349281
"X227";53;319600,402096415;7673672,10410163
"X228";53;314165,99123038;7669723,77349281
"X229";62;318638,693755459;7670703,48702218
"X230";62;318646,258737873;7670673,14553495
"X231";62;318638,693755458;7670703,48702218
"X232";62;318618,080941987;7670696,78951308
"X233";62;318646,258737871;7670673,14553495
"X234";62;318618,080941983;7670696,78951308
"X235";63;318749,855202904;7670553,81212902
"X236";63;317318,040543442;7671414,13317163
"X237";63;318749,855202903;7670553,81212902
"X238";63;317643,808923112;7670278,04381903
"X239";63;317318,040543441;7671414,13317163
"X240";63;317643,808923116;7670278,04381903
"X241";64;317363,668890886;7670129,96413985
"X242";64;318379,393964385;7670309,06387529
"X243";64;317363,668890885;7670129,96413985
"X244";64;317278,010653782;7670944,94782615
"X245";64;318379,393964388;7670309,06387529
"X246";64;317278,010653783;7670944,94782615
"X247";65;318766,185614242;7670557,88375786
"X248";65;317606,198775423;7671098,79450417
"X249";65;318766,185614253;7670557,88375786
"X250";65;317995,920240554;7670365,83503058
"X251";65;317606,198775422;7671098,79450417
"X252";65;317995,920240559;7670365,83503058
"X253";66;318614,10687838;7670606,85343261
"X254";66;316953,037844714;7670635,84750045
"X255";66;318614,106878269;7670606,85343261
"X256";66;316859,195421161;7670103,64066984
